target_id,account_id,campaign_id,target_date,priority,recommended_channel,status,month,target_rank_in_account_month,borrower_id,dpd,risk_segment,loan_type,outstanding_amount,status_account,timezone,city,state,strategy_version,campaign_name,target_definition,channel,rpc_flag,ptp_disposition_flag,contact_flag,ptp_flag,recovery_3d,recovery_7d,recovery_14d,recovery_30d,paid_3d_flag,paid_7d_flag,paid_14d_flag,paid_30d_flag,dpd_band
TGT0004506,ACC0000001,CMP0000062,2026-02-11,3,WHATSAPP,CONTACTED,2026-02,1,BRW0010742,15,MEDIUM,CONSUMER,678074.03,CLOSED,Asia/Dubai,Pune,Maharashtra,legacy,NPA_RECOVERY,DPD>=60,SMS,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,8-30
TGT0010884,ACC0000001,CMP0000046,2026-03-12,5,FIELD,EXPIRED,2026-03,1,BRW0010742,15,MEDIUM,CONSUMER,678074.03,CLOSED,Asia/Dubai,Pune,Maharashtra,v3,BOUNCE,PROMISE_BROKEN,WHATSAPP,False,False,False,False,0.0,0.0,0.0,114222.84,False,False,False,True,8-30
TGT0038747,ACC0000001,CMP0000046,2026-06-11,7,FIELD,CONTACTED,2026-06,1,BRW0010742,15,MEDIUM,CONSUMER,678074.03,CLOSED,Asia/Dubai,Pune,Maharashtra,v3,BOUNCE,PROMISE_BROKEN,WHATSAPP,True,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,8-30
TGT0011660,ACC0000002,CMP0000060,2026-01-12,1,SMS,EXPIRED,2026-01,1,BRW0009382,5,LOW,BNPL,464893.44,ACTIVE,UTC,Hyderabad,Telangana,v3,30DPD_W1,DPD>=30,SMS,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,0-7
TGT0004635,ACC0000002,CMP0000001,2026-03-19,8,WHATSAPP,QUEUED,2026-03,1,BRW0009382,5,LOW,BNPL,464893.44,ACTIVE,UTC,Hyderabad,Telangana,legacy,DIGITAL_FOLLOWUP,DPD>=30,FIELD,False,False,True,False,0.0,0.0,0.0,0.0,False,False,False,False,0-7
TGT0012675,ACC0000002,CMP0000012,2026-06-23,7,FIELD,CONTACTED,2026-06,1,BRW0009382,5,LOW,BNPL,464893.44,ACTIVE,UTC,Hyderabad,Telangana,v1,NPA_RECOVERY,DPD>=60,WHATSAPP,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,0-7
TGT0000034,ACC0000003,CMP0000022,2026-06-09,9,VOICE,EXPIRED,2026-06,1,BRW0003966,60,NPA,CREDIT_CARD,22565.37,WRITEOFF,Asia/Dubai,Delhi,Delhi,v3,60DPD_INTENT,PROMISE_BROKEN,VOICE,False,False,False,False,0.0,0.0,47415.92,47415.92,False,False,True,True,31-60
TGT0008041,ACC0000004,CMP0000101,2026-02-28,7,SMS,CONTACTED,2026-02,1,BRW0001993,30,LOW,PERSONAL,508427.73,CLOSED,UTC,Chennai,Tamil Nadu,v3,BOUNCE,DPD>=30,MIXED,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,8-30
TGT0040736,ACC0000006,CMP0000118,2026-05-03,6,FIELD,QUEUED,2026-05,1,,45,MEDIUM,BNPL,326675.14,CLOSED,Asia/Kolkata,,,v3,30DPD_W1,DPD>=60,FIELD,False,False,True,False,0.0,0.0,0.0,0.0,False,False,False,False,31-60
TGT0039025,ACC0000007,CMP0000080,2026-02-01,3,VOICE,QUEUED,2026-02,1,BRW0000727,45,MEDIUM,BNPL,438792.97,CLOSED,Asia/Kolkata,Kolkata,West Bengal,legacy,NPA_RECOVERY,DPD>=60,WHATSAPP,False,False,False,False,0.0,0.0,0.0,0.0,False,False,False,False,31-60
