vendor_id,calls,answered_calls,answer_rate_pct
VND0000001,6128,1185,19.337467362924283
VND0000002,6026,1184,19.648191171589776
VND0000003,6068,1209,19.924192485168096
VND0000004,6023,1175,19.50855055620123
VND0000005,6153,1201,19.518933853404842
VND0000006,5989,1251,20.888295207881118
VND0000007,6138,1193,19.436298468556533
VND0000008,5989,1184,19.769577558857907
VND0000009,6061,1167,19.254248473849202
VND0000010,6248,1266,20.262483994878362
VND0000011,6177,1242,20.106847984458476
VND0000012,6094,1178,19.330489005579256
VND0000013,5974,1200,20.08704385671242
VND0000014,6132,1296,21.135029354207436
VND0000015,6150,1215,19.75609756097561
